date,mkt-rf,smb,hml,rmw,cma,rf,mom
2004-01-02,-0.0017014466397575704,0.007868958378695197,0.004290781417156246,-0.005816885321564851,0.006280237957150456,2.999955000897429e-05,0.0001999800026662447
2004-01-05,0.011928570865273812,0.002796087302001188,9.999500033329732e-05,-0.0077297980619412685,0.008166562666393401,2.999955000897429e-05,0.005385472276337888
2004-01-06,0.001998002662673058,0.0004998750416509929,0.002596625847265914,-0.004811556997222082,0.0055843782939006634,2.999955000897429e-05,0.006876303939432064
2004-01-07,0.003394233068015617,0.005087039048557209,-0.0008003201707691552,-0.005213567052887434,0.001998002662673058,2.999955000897429e-05,0.004589452333807224
2004-01-08,0.004489905272852001,0.002995508979798371,0.006975613736425138,-0.008939841569474296,0.009950330853168092,2.999955000897429e-05,0.002995508979798371
2004-01-09,-0.0072260450917395825,9.999500033329732e-05,0.002895803112025468,-0.004811556997222082,0.0013990209137074087,2.999955000897429e-05,0.0040916179032535575
2004-01-12,0.005683816468297709,0.007868958378695197,0.001199280575482187,-0.009141657917283387,0.008265744417032593,2.999955000897429e-05,0.0036931718376176067
2004-01-13,-0.005113049386823014,0.002895803112025468,0.0006997551142732649,0.002596625847265914,-0.0007002451143934259,2.999955000897429e-05,-0.00030004500900199243
2004-01-14,0.007968169649176881,0.00029995500899794244,0.0046889894861314695,-0.0002000200026670447,0.0017983819413793973,2.999955000897429e-05,0.0017983819413793973
2004-01-15,0.0014988761237359487,-0.0007002451143934259,-0.0031048149534787565,-0.00040008002133969133,0.0015987213636970735,2.999955000897429e-05,0.0009995003330834232
2004-01-16,0.007174203748000453,-0.00040008002133969133,0.006081470315867954,-0.013997509643853661,0.007174203748000453,2.999955000897429e-05,0.010346292054144267
2004-01-20,0.0014988761237359487,0.01242251999855711,0.005783244755727361,-0.003606495594111744,0.005186526687300154,2.999955000897429e-05,0.0017983819413793973
2004-01-21,0.006379606964038988,-0.008132983230188991,0.003394233068015617,0.009554212804811711,-0.0077297980619412685,2.999955000897429e-05,-0.007427515828796584
2004-01-22,-0.0032051309489483358,-0.005113049386823014,-0.0005001250416822429,0.005783244755727361,-0.0072260450917395825,2.999955000897429e-05,-0.0017014466397575704
2004-01-23,-0.0014009809156281003,0.00876150566857267,-0.0010005003335835344,0.001199280575482187,-0.0013008457330480696,2.999955000897429e-05,-0.005113049386823014
2004-01-26,0.011137744410456021,-0.002302649062675558,-0.0030045090202987243,-0.00350613932928759,0.0014988761237359487,2.999955000897429e-05,0.004589452333807224
2004-01-27,-0.00964637705180545,0.0009995003330834232,9.999500033329732e-05,0.008166562666393401,-0.0021022080918701985,2.999955000897429e-05,-0.003706861931326512
2004-01-28,-0.014504686202881688,-0.004309271588098403,-0.0039076248310170765,0.003593535510130218,0.0004998750416509929,2.999955000897429e-05,-0.0072260450917395825
2004-01-29,0.002496880198587146,-0.010757656652960208,-0.007629027164491163,0.006578315360122507,-0.009747351454880074,2.999955000897429e-05,-0.01247752151111258
2004-01-30,-0.0015011261262670914,0.0022973590486834584,0.004489905272852001,-0.005213567052887434,0.0015987213636970735,2.999955000897429e-05,0.005783244755727361
2004-02-02,0.002696361547742533,-0.00350613932928759,-0.0013008457330480696,0.0022973590486834584,-0.0028039273327342593,2.999955000897429e-05,-0.005515180688110111
2004-02-03,0.0,-0.0013008457330480696,-0.00040008002133969133,0.001998002662673058,-0.0015011261262670914,2.999955000897429e-05,0.0001999800026662447
2004-02-04,-0.009747351454880074,-0.014606152389362114,-0.005917473764037623,0.015676479385007616,-0.011566636371465405,2.999955000897429e-05,-0.015215165806480377
2004-02-05,0.0022973590486834584,0.004489905272852001,0.0017983819413793973,-0.0020020026706730793,0.0013990209137074087,2.999955000897429e-05,0.0014988761237359487
2004-02-06,0.01380428097639708,0.010247316451549499,0.0040916179032535575,-0.00904074465214907,0.008959741371471801,2.999955000897429e-05,0.01607018017749446
2004-02-09,-0.0010005003335835344,0.003992021269537457,0.002696361547742533,-0.0019018072895963312,0.00209779808214612,2.999955000897429e-05,0.00029995500899794244
2004-02-10,0.0055843782939006634,0.005783244755727361,0.0015987213636970735,-0.002904213147389827,0.0015987213636970735,2.999955000897429e-05,-0.0019018072895963312
2004-02-11,0.010346292054144267,-0.00350613932928759,0.0015987213636970735,-0.0002000200026670447,-0.00010000500033334732,2.999955000897429e-05,0.005882663158155512
2004-02-12,-0.004610612557683294,-0.0011006054440330039,-0.0017014466397575704,0.004191204618468052,-0.0007002451143934259,2.999955000897429e-05,-0.0016012813669738792
2004-02-13,-0.005716306996109192,-0.006521216990265463,-0.0013008457330480696,0.004390348301292854,-0.004008021397538822,2.999955000897429e-05,-0.004912044361020641
2004-02-17,0.009752291442678302,0.004489905272852001,0.005783244755727361,-0.005012541823544286,0.0004998750416509929,2.999955000897429e-05,0.004290781417156246
2004-02-18,-0.0039076248310170765,-0.0008003201707691552,0.0008995952428359939,-0.0006001800720324606,-0.0011006054440330039,2.999955000897429e-05,-0.0008003201707691552
2004-02-19,-0.005414632701498842,-0.009141657917283387,-0.0015011261262670914,0.00727348396649847,-0.0028039273327342593,2.999955000897429e-05,-0.008132983230188991
2004-02-20,-0.0030045090202987243,-0.0015011261262670914,-0.0030045090202987243,0.004589452333807224,-0.00350613932928759,2.999955000897429e-05,-0.0075282664207915245
2004-02-23,-0.005113049386823014,-0.011364330079049759,-0.0018016219466282088,0.008265744417032593,-0.006722545760826811,2.999955000897429e-05,-0.013591953519466972
2004-02-24,-0.0014009809156281003,0.002895803112025468,-0.0018016219466282088,0.0021975835434872013,-0.0021022080918701985,2.999955000897429e-05,-0.004409708488700073
