DATE,vwretd,ewretd
19260921,0.003067,0.002285
19260922,-0.001138,-0.000968
19260923,0.002614,0.001874
19260924,0.006307,0.005744
19260925,0.002228,0.001865
19260927,-0.001205,-0.000675
19260928,0.000021,-0.001015
19260929,-0.002900,-0.001639
19260930,0.003077,0.003339
19261001,0.007404,0.003820
19261002,-0.000921,0.001629
19261004,-0.013722,-0.014004
19261005,-0.010924,-0.010482
19261006,-0.005597,-0.010973
19261007,-0.007345,-0.003343
19261008,0.005984,0.006730
19261009,-0.009203,-0.006003
19261011,-0.006713,-0.008007
19261013,0.006953,0.004594
19261014,0.009733,0.007266
19261015,-0.017962,-0.016489
19261016,-0.007117,-0.008068
19261018,0.006930,0.007919
19261019,-0.010099,-0.010101
19261020,-0.002423,-0.008151
19261021,0.015238,0.015715
19261022,-0.003869,0.000126
19261023,0.005567,0.009072
19261025,-0.000788,-0.000904
19261026,0.003316,0.004824
19261027,0.010061,0.007475
19261028,-0.000702,0.000708
19261029,-0.000453,0.000682
19261030,-0.002335,-0.000669
19261101,0.004693,0.004053
19261103,0.001943,0.001002
19261104,0.006036,0.008083
19261105,0.000837,-0.000182
19261106,0.001718,0.000935
19261108,0.005270,0.003343
19261109,0.001374,0.002272
19261110,-0.005860,-0.004843
19261111,0.006825,0.008575
19261112,0.002480,0.001970
19261113,-0.002182,-0.001893
19261115,0.003772,0.003421
19261116,0.001561,0.001900
19261117,-0.003332,-0.003969
19261118,-0.004568,-0.003984
19261119,-0.006343,-0.001917
19261120,0.004037,0.004684
19261122,0.005694,0.004023
19261123,0.003453,0.004109
19261124,0.000947,0.000458
19261126,0.002354,0.002079
19261127,-0.001375,-0.001981
19261129,-0.003448,-0.003780
19261130,0.002843,0.003198
19261201,0.003624,0.004056
19261202,0.005067,0.003977
19261203,0.003158,0.004593
19261204,-0.001536,0.001505
19261206,0.000454,-0.001855
19261207,-0.000222,0.003876
19261208,-0.000791,-0.000260
19261209,0.004395,0.004375
19261210,0.003724,0.005632
19261211,0.001054,0.002224
19261213,0.004240,0.005839
19261214,0.001113,0.001795
19261215,0.002069,0.002455
19261216,-0.005997,-0.007241
19261217,0.009088,0.005399
19261218,0.004261,0.003813
19261220,-0.002708,-0.001344
19261221,-0.000231,-0.001428
19261222,0.000128,-0.002485
19261223,0.003037,0.002258
19261224,0.003072,0.003440
19261227,-0.001925,-0.003055
19261228,-0.010793,-0.013966
19261229,0.004597,0.004768
19261230,-0.003402,-0.000179
19261231,0.003473,0.007736
