DATE,vw,ew
19270502,1.08,0.62
19270503,0.74,1.64
19270504,0.98,0.82
19270505,0.14,0.0
19270506,0.56,0.26
19270507,0.32,0.41
19270509,0.64,0.36
19270510,-0.89,-0.74
19270511,-0.06,0.34
19270512,-0.38,-0.69
19270513,0.26,0.58
19270514,-0.05,0.06
19270516,-0.18,-0.19
19270517,0.83,0.18
19270518,0.01,0.02
19270519,-0.52,-0.43
19270520,0.07,-0.06
19270521,1.24,1.12
19270523,1.4,0.83
19270524,0.22,0.42
19270525,0.78,0.89
19270526,0.3,0.1
19270527,1.65,1.81
19270528,-0.26,-0.38
19270531,0.17,-0.05
19270601,0.26,0.12
19270602,0.14,0.45
19270603,-1.15,-1.13
19270604,0.46,0.19
19270606,1.29,0.5
19270607,-0.23,0.43
19270608,0.4,0.17
19270609,0.04,0.56
19270610,-0.45,-0.17
19270611,-0.56,-0.29
19270614,-2.15,-1.29
19270615,1.82,1.1
19270616,0.4,0.19
19270617,1.42,1.61
19270618,0.38,0.7
19270620,-0.86,-1.09
19270621,-0.17,0.85
19270622,0.17,0.49
19270623,-1.76,-1.11
19270624,0.53,0.13
19270625,0.09,-0.28
19270627,-2.15,-1.89
19270628,0.09,-0.39
19270629,-0.3,0.06
19270630,-0.1,-0.33
19270701,0.69,0.82
19270702,0.89,0.9
19270705,0.72,0.41
19270706,0.72,1.26
19270707,0.03,0.88
19270708,-0.86,-0.65
19270709,0.13,0.22
19270711,0.09,0.03
19270712,0.64,0.7
19270713,0.32,0.28
19270714,-0.06,-0.08
19270715,-0.13,0.64
19270716,0.36,0.69
19270718,0.05,-0.1
19270719,-0.06,0.37
19270720,0.72,0.83
19270721,0.48,0.76
19270722,-0.38,-0.04
19270723,0.43,0.38
19270725,0.38,0.99
19270726,0.05,-0.35
19270727,-0.27,-0.71
19270728,-0.09,0.13
19270729,0.19,0.77
19270730,-0.22,0.11
19270801,0.33,0.88
19270802,0.51,0.33
19270803,-0.57,-0.21
19270804,0.74,0.02
19270805,-0.53,0.07
19270806,-0.16,-0.29
19270808,-0.84,-1.14
19270809,0.76,0.77
19270810,0.41,0.5
19270811,-0.89,-0.45
19270812,-2.35,-2.29
19270813,0.76,0.88
19270815,0.94,0.97
19270816,0.62,0.57
19270817,1.27,0.79
19270818,-0.52,-0.3
19270819,-0.04,0.03
19270820,0.6,0.99
19270822,0.23,0.1
19270823,-0.02,0.19
19270824,0.22,0.58
19270825,-0.21,0.04
19270826,-0.47,-0.5
19270827,0.59,0.33
19270829,-0.08,0.06
19270830,-0.39,-0.4
19270831,-0.95,-0.62
19270901,0.72,0.34
19270902,0.38,0.06
19270903,0.69,1.46
19270906,0.57,1.06
19270907,0.66,0.63
19270908,0.33,0.3
19270909,-0.78,-0.11
19270910,0.77,1.07
19270912,-0.6,-0.57
19270913,0.62,0.85
19270914,-0.34,-0.29
19270915,-0.24,-0.1
19270916,-0.51,-0.46
19270917,-0.15,-0.56
19270919,-0.76,-0.91
19270920,0.71,0.99
19270921,-0.08,-0.59
19270922,-1.33,-0.65
19270923,0.47,0.5
19270924,0.17,-0.42
19270926,-0.6,0.1
19270927,-0.59,-0.5
19270928,-0.34,-0.17
19270929,0.0,-0.3
19270930,0.94,1.26
19271001,0.56,0.54
19271003,-0.03,-0.16
19271004,-0.62,-0.5
19271005,-0.39,-0.22
19271006,0.38,0.23
19271007,-0.44,-0.55
19271008,-0.39,-0.11
19271010,-1.35,-1.34
19271011,0.36,0.4
19271013,0.3,0.5
19271014,0.98,0.64
19271015,0.32,0.87
19271017,-1.58,-1.63
19271018,-0.25,-0.29
19271019,-0.21,-0.47
19271020,-0.92,-0.76
19271021,-0.06,0.32
19271022,-0.23,-0.3
19271024,-0.09,-0.53
19271025,0.87,0.26
19271026,0.58,0.96
19271027,0.39,0.42
19271028,-2.43,-2.01
19271029,-0.64,-0.02
19271031,0.26,0.47
19271101,0.53,0.82
19271102,0.12,-0.58
19271103,0.63,1.23
19271104,0.13,0.31
19271105,0.67,0.56
19271107,1.3,1.54
19271109,-0.22,-0.29
19271110,-0.08,-0.01
19271111,0.22,0.23
19271112,0.63,0.53
19271114,1.16,1.11
19271115,0.51,0.63
19271116,0.71,1.39
19271117,0.7,0.45
19271118,1.26,1.12
19271119,0.6,0.61
19271121,-0.27,0.14
19271122,0.32,1.38
19271123,0.53,0.49
