caldt,vwretd,ewretd
19260805,-0.0008774563000000001,0.0001087806
19260806,0.007379422,0.006898387000000001
19260807,0.005109333000000001,0.002554245
19260809,0.001312753,0.001178271
19260810,-0.01616929,-0.01119075
19260811,-0.00592303,-0.003883599
19260812,0.01124477,0.009270258
19260813,0.008941296000000001,0.005837874000000001
19260814,0.006174834000000001,0.004594484
19260816,0.001146489,0.002175055
19260817,-0.01102487,-0.008977286000000001
19260818,0.002670375,0.002046638
19260819,-0.007307699000000001,-0.006709912
19260820,-0.001691277,-0.0007833184
19260821,0.003626838,0.004213843
19260823,0.006256898,0.003144701
19260824,-0.009514967000000001,-0.008287001
19260825,-0.003326986,-0.00299304
19260826,0.006277067000000001,0.005401478
19260827,0.003532646,0.003283474
19260828,0.003397193,0.005556459000000001
19260830,0.002494322,0.002791961
19260831,0.008127117,0.004470781
19260901,0.004859767,0.008336456
19260902,7.723957e-05,0.001234574
19260903,0.00776321,0.008671696000000001
19260907,0.007462588,0.007108861
19260908,-0.006193876,-0.004617120000000001
19260909,0.0005784499000000001,0.001339343
19260910,-0.01011008,-0.00775723
19260911,-0.005067428000000001,-0.004517574
19260913,0.0007820463,0.0008134111
19260914,0.01104107,0.009442339000000001
19260915,-0.002918368,-0.00362447
19260916,-0.0008852493000000001,-0.002353315
19260917,-0.009284261,-0.01128041
19260918,0.008448768,0.009065536
19260920,-0.005898512000000001,-0.007554514000000001
19260921,0.004002962000000001,0.004557902
19260922,-0.00204234,-0.00267187
19260923,0.002617008,0.003194639
19260924,0.007508321,0.006114785
19260925,0.002409193,0.002782093
19260927,-0.001923401,-0.002693696
19260928,-1.479261e-05,-0.001521821
19260929,-0.003615233,-0.002525086
19260930,0.004460277,0.004273155
19261001,0.008862871000000001,0.005200975
19261002,-0.0009739916,-0.001689391
19261004,-0.01532085,-0.01720974
19261005,-0.01163644,-0.01085323
19261006,-0.004754585,-0.005334327000000001
19261007,-0.009996929,-0.005774353
19261008,0.006136917,0.005866281
19261009,-0.01068091,-0.009899093000000001
19261011,-0.007047681,-0.006518871000000001
19261013,0.009221605,0.008964224
19261014,0.009532915000000001,0.01033461
19261015,-0.01949546,-0.01886359
19261016,-0.007620258,-0.007317016000000001
19261018,0.008786594,0.008196588000000001
19261019,-0.01206131,-0.01151377
19261020,0.0004218061,-0.0009376708
19261021,0.01720956,0.01738909
19261022,-0.005123058000000001,-0.002539348
19261023,0.004854779,0.006607186
19261025,-0.0002968762,-0.0007269838
19261026,0.002688431,0.003036475
19261027,0.01224665,0.01089737
19261028,-0.00195998,-0.001869952
19261029,-0.0007136374000000001,0.0005078962
19261030,-0.002629603,-0.001523369
19261101,0.005395913,0.003847144
19261103,0.002667753,0.002423395
19261104,0.007208993,0.006214446
19261105,-0.0003047449,0.0006463814
19261106,0.001714798,0.002740308
19261108,0.006382368,0.005861387
19261109,-6.446582999999999e-05,0.001228257
19261110,-0.00729443,-0.005156992
19261111,0.007018272000000001,0.006629583000000001
19261112,0.002837146,0.002147228
19261113,-0.003799844,-0.001863354
19261115,0.004012112,0.00373702
19261116,0.002936326,0.003072886
19261117,-0.003963408,-0.003691339
19261118,-0.005428188,-0.004109187
19261119,-0.007979012,-0.003851752
19261120,0.003661858,0.005031575
19261122,0.005843119000000001,0.004777558
19261123,0.004404958,0.003546322
19261124,0.000396805,0.001413109
19261126,0.003156215,0.003487825
19261127,-0.001429407,-0.002219242
19261129,-0.003416535,-0.003687293
19261130,0.003114378,0.003613439
19261201,0.002555745,0.002950847
19261202,0.004838055,0.004315230000000001
19261203,0.002793116,0.002164519
19261204,-0.001292873,-0.001505283
19261206,0.0008968043000000001,0.001745
19261207,-0.001264446,-0.0003143405
19261208,-0.001366124,-0.0005388557
19261209,0.004795596,0.006481898000000001
19261210,0.004123887000000001,0.004388331000000001
19261211,0.0008981755,0.002279866
19261213,0.003377352,0.002834748
19261214,0.00121277,0.0002966133
19261215,0.002130677,0.001438219
19261216,-0.005849544000000001,-0.007227245
19261217,0.01079734,0.009072832000000001
19261218,0.004670525,0.003166548
